key	suite	cluster	model	ours	want	sameboy	provenance	bucket	evidence
gambatte/oamdma/late_sp39x_4_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp39x_ds_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/late_sp39y_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/oamdma/oamdma_late_speedchange_stat_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/oamdma	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/old/offset_3/scx_during_m3_ds_2.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/old/offset_3/scx_during_m3_ds_3.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	2723px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scx_during_m3/scx_0360c0/scx_during_m3_ds_2.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	160px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/scx_0761c0/scx_during_m3_ds_5.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/scx_0761c0/scx_during_m3_ds_6.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	1144px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/scx_attrib_during_m3_spx2_ds.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	16px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/scx_during_m3_spx2.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	8px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scx_during_m3/scx_during_m3_spx2_ds.gbc [Cgb]	gambatte	gambatte/scx_during_m3	Cgb	16px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scy/scy_during_m3_ds_3.gbc [Cgb]	gambatte	gambatte/scy	Cgb	1144px-diff	reference-png	PASS	hw-capture:png	BUG	SameBoy reproduces the captured value; we do not
gambatte/scy/scy_during_m3_ds_5.gbc [Cgb]	gambatte	gambatte/scy	Cgb	8px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_ds_6.gbc [Cgb]	gambatte	gambatte/scy	Cgb	8px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx08_ds_3.gbc [Cgb]	gambatte	gambatte/scy	Cgb	8px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx08_ds_4.gbc [Cgb]	gambatte	gambatte/scy	Cgb	8px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx09_ds_1.gbc [Cgb]	gambatte	gambatte/scy	Cgb	232px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx09_ds_2.gbc [Cgb]	gambatte	gambatte/scy	Cgb	8px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx09_ds_3.gbc [Cgb]	gambatte	gambatte/scy	Cgb	16px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/scy/scy_during_m3_spx09_ds_4.gbc [Cgb]	gambatte	gambatte/scy	Cgb	128px-diff	reference-png	FAIL	hw-capture:png	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sound/ch1_duty0_pos6_to_pos7_timing_ds_6_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/sound	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_1_dmg08_outaudio0_cgb04c_outaudio1.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_4_dmg08_outaudio1_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_5_dmg08_outaudio1_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_6_dmg08_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:dmg08+cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_6_dmg08_cgb04c_outaudio0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08+cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_7_dmg08_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:dmg08+cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_7_dmg08_cgb04c_outaudio0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08+cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_pos_8_dmg08_outaudio0_cgb04c_outaudio1.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_reset_sweep_counter_timing_10_dmg08_outaudio0_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/sound	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch1_init_reset_sweep_counter_timing_4_dmg08_outaudio1_cgb04c_outaudio0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	constant-output	sound	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_env_counter_timing_2_dmg08_outaudio1_cgb04c_outaudio0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	constant-output	sound	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_env_counter_timing_3_dmg08_outaudio1_cgb04c_outaudio0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	constant-output	sound	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_env_counter_timing_4_dmg08_cgb04c_outaudio1.gbc [Dmg]	gambatte	gambatte/sound	Dmg	constant-output	sound	unknown	hw-capture:dmg08+cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_reset_env_counter_timing_11_dmg08_outaudio0_cgb04c_outaudio1.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_reset_env_counter_timing_15_dmg08_outaudio1_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_reset_env_counter_timing_5_dmg08_outaudio0_cgb04c_outaudio1.gbc [Dmg]	gambatte	gambatte/sound	Dmg	varying-output	silence	unknown	hw-capture:dmg08	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_init_reset_env_counter_timing_7_dmg08_outaudio1_cgb04c_outaudio0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	varying-output	silence	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/sound/ch2_late_reset_nr52_2b_dmg08_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	2	0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sound/ch2_late_reset_nr52_2b_dmg08_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/sound	Dmg	2	0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sound/ch2_late_reset_nr52_ds_2b_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sound	Cgb	2	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange2_ch1_duty0_pos6_to_pos7_timing_ds_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange2_ch1_duty0_pos6_to_pos7_timing_nop_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange2_ch1_duty0_pos6_to_pos7_timing_nop_ds_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange2_ch2_nr52_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange2_ch2_nr52_ds_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_ch2_nr52_ds_2a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_ly44_m3_stat_4_cgb04c_outC2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	C0	C2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange2_nop_ch1_duty0_pos6_to_pos7_timing_ds_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange2_nop_m2int_m3stat_scx1_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange2_tima01_1_cgb04c_out09.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	08	09	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima01_2_cgb04c_out0A.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	09	0A	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima01_nop_1_cgb04c_out0A.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	08	0A	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima01_nop_2_cgb04c_out0B.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	09	0B	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima02_2a_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	02	03	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima02_2b_cgb04c_out04.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	03	04	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima03_2a_cgb04c_out01.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	00	01	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange2_tima03_2b_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange3_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange3_ch1_duty0_pos6_to_pos7_timing_nop_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange3_nop_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange4_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange4_ch1_duty0_pos6_to_pos7_timing_nop_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange4_ch2_nr52_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange5_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange5_ch1_duty0_pos6_to_pos7_timing_nop_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange5_ch2_nr52_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange5_ch2_nr52_2a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange5_nop_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange_ch1_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange_ch1_duty0_pos6_to_pos7_timing_ds_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange_ch1_duty0_pos6_to_pos7_timing_nop_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange_ch1_nr4init_duty0_pos6_to_pos7_timing_2_cgb04c_outaudio1.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	constant-output	sound	unknown	hw-capture:cgb04c	BUG	hardware-captured want; SameBoy verdict unmeasured
gambatte/speedchange/speedchange_ch2_nr52_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_ch2_nr52_2a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_ch2_nr52_ds_1a_cgb04c_outF2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	F0	F2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange_ly44_m3_stat_2_cgb04c_outC2.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	C0	C2	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/speedchange/speedchange_tima01_nop_1_cgb04c_out07.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	06	07	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_tima01_nop_2_cgb04c_out08.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	07	08	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_tima02_2a_cgb04c_out03.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	02	03	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_tima02_2b_cgb04c_out04.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	03	04	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_tima03_2a_cgb04c_out01.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	00	01	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/speedchange/speedchange_tima03_2b_cgb04c_out02.gbc [Cgb]	gambatte	gambatte/speedchange	Cgb	01	02	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/10spritesPrLine_10xposA7_m0irq_2_dmg08_cgb04c_out2.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	2	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/10spritesPrLine_10xposA7_m0irq_2_dmg08_cgb04c_out2.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	0	2	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/enable/late_disable_ds_3_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_disable_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange2_sp00_2_dmg08_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	3	0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange2_sp00_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange2_sp01_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange2_sp02_2_dmg08_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	3	0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange2_sp39_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange_2_dmg08_out0_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_ds_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange_sp00_2_dmg08_cgb04c_out3.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	0	3	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_sp00_4_dmg08_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	3	0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_sp00_ds_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange_sp01_2_dmg08_out0_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_sp01_ds_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/late_sizechange_sp02_2_dmg08_cgb04c_out3.gbc [Dmg]	gambatte	gambatte/sprites	Dmg	0	3	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_sp39_2_dmg08_out0_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/late_sizechange_sp39_ds_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/sprites/space/10spritesPrLine_late_scx4_ds_2_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx0_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx1_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx2_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx3_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx4_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx5_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/10spritesPrLine_wx6_m3stat_ds_2_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/sprites/space/1pos8_8pos9_wx08_m3stat_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/sprites	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/vram_m3/preread_lcdoffset2_1_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/vram_m3	Cgb	3	0	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/vram_m3/prewrite_lcdoffset2_1_cgb04c_out1.gbc [Cgb]	gambatte	gambatte/vram_m3	Cgb	0	1	FAIL	hw-capture:cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/window/arg/late_scx_late_wy_FFto4_ly4_wx20_2_dmg08_out3_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/window	Cgb	3	0	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/window/arg/late_scx_late_wy_FFto4_ly4_wx20_3_dmg08_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/window	Dmg	3	0	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/window/arg/late_wy_1_dmg08_cgb04c_out0.gbc [Cgb]	gambatte	gambatte/window	Cgb	3	0	FAIL	hw-capture:dmg08+cgb04c	EXCEED	hardware-captured want that SameBoy also misses
gambatte/window/arg/late_wy_FFto2_ly2_scx5_1_dmg08_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/window	Cgb	0	3	PASS	hw-capture:dmg08+cgb04c	BUG	SameBoy reproduces the captured value; we do not
gambatte/window/arg/late_wy_FFto2_ly2_scx5_2_dmg08_out3_cgb04c_out0.gbc [Dmg]	gambatte	gambatte/window	Dmg	0	3	PASS	hw-capture:dmg08	BUG	SameBoy reproduces the captured value; we do not
gambatte/window/arg/late_wy_FFto2_ly2_scx5_ds_1_cgb04c_out3.gbc [Cgb]	gambatte	gambatte/window	Cgb	0	3	PASS	hw-capture:cgb04c	BUG	SameBoy reproduces the captured value; we do not
